__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,customer,Customer Service,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,customer,Customer Service,TOTAL,100.06
HiringLabSectoralPosting,2020-02-03,US,United States,customer,Customer Service,TOTAL,100.2
HiringLabSectoralPosting,2020-02-04,US,United States,customer,Customer Service,TOTAL,100.25
HiringLabSectoralPosting,2020-02-05,US,United States,customer,Customer Service,TOTAL,100.36
HiringLabSectoralPosting,2020-02-06,US,United States,customer,Customer Service,TOTAL,100.6
HiringLabSectoralPosting,2020-02-07,US,United States,customer,Customer Service,TOTAL,100.54
HiringLabSectoralPosting,2020-02-08,US,United States,customer,Customer Service,TOTAL,100.59
HiringLabSectoralPosting,2020-02-09,US,United States,customer,Customer Service,TOTAL,100.51
HiringLabSectoralPosting,2020-02-10,US,United States,customer,Customer Service,TOTAL,100.42
HiringLabSectoralPosting,2020-02-11,US,United States,customer,Customer Service,TOTAL,100.44
HiringLabSectoralPosting,2020-02-12,US,United States,customer,Customer Service,TOTAL,100.46
HiringLabSectoralPosting,2020-02-13,US,United States,customer,Customer Service,TOTAL,100.46
HiringLabSectoralPosting,2020-02-14,US,United States,customer,Customer Service,TOTAL,100.45
HiringLabSectoralPosting,2020-02-15,US,United States,customer,Customer Service,TOTAL,100.09
HiringLabSectoralPosting,2020-02-16,US,United States,customer,Customer Service,TOTAL,99.84
HiringLabSectoralPosting,2020-02-17,US,United States,customer,Customer Service,TOTAL,99.54
HiringLabSectoralPosting,2020-02-18,US,United States,customer,Customer Service,TOTAL,99.19
HiringLabSectoralPosting,2020-02-19,US,United States,customer,Customer Service,TOTAL,98.89
HiringLabSectoralPosting,2020-02-20,US,United States,customer,Customer Service,TOTAL,98.59
HiringLabSectoralPosting,2020-02-21,US,United States,customer,Customer Service,TOTAL,98.31
HiringLabSectoralPosting,2020-02-22,US,United States,customer,Customer Service,TOTAL,98.25
HiringLabSectoralPosting,2020-02-23,US,United States,customer,Customer Service,TOTAL,98.23
