"Time","chatgpt"
"2021-05-01",0
"2021-06-01",0
"2021-07-01",0
"2021-08-01",0
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",0
"2022-02-01",0
"2022-03-01",0
"2022-04-01",0
"2022-05-01",0
"2022-06-01",0
"2022-07-01",0
"2022-08-01",0
"2022-09-01",0
"2022-10-01",0
"2022-11-01",0
"2022-12-01",9
"2023-01-01",15
"2023-02-01",25
"2023-03-01",25
"2023-04-01",28
"2023-05-01",24
"2023-06-01",17
"2023-07-01",15
"2023-08-01",16
"2023-09-01",21
"2023-10-01",23
"2023-11-01",22
"2023-12-01",22
"2024-01-01",22
"2024-02-01",27
"2024-03-01",25
"2024-04-01",29
"2024-05-01",26
"2024-06-01",22
"2024-07-01",19
"2024-08-01",26
"2024-09-01",35
"2024-10-01",41
"2024-11-01",40
"2024-12-01",41
"2025-01-01",46
"2025-02-01",60
"2025-03-01",61
"2025-04-01",75
"2025-05-01",80
"2025-06-01",71
"2025-07-01",82
"2025-08-01",85
"2025-09-01",100
"2025-10-01",95
"2025-11-01",85
"2025-12-01",75
"2026-01-01",77
"2026-02-01",77
"2026-03-01",82
"2026-04-01",78
"2026-05-01",70
