Month,JobPostings,ChatGPTTrend,AIHeadlineShare,UnemploymentRate
5/1/2021,130.7790323,0,2.092903226,5.8
6/1/2021,137.5256667,0,2.170666667,5.9
7/1/2021,139.4887097,0,2.231612903,5.4
8/1/2021,135.8332258,0,2.390322581,5.1
9/1/2021,138.1683333,0,2.559333333,4.7
10/1/2021,136.93,0,2.692258065,4.5
11/1/2021,140.0523333,0,2.843,4.1
12/1/2021,141.6787097,0,3,3.9
1/1/2022,138.4016129,0,3.07483871,4
2/1/2022,140.1239286,0,3.218928571,3.9
3/1/2022,140.226129,0,3.231935484,3.7
4/1/2022,138.6136667,0,3.189,3.7
5/1/2022,136.6680645,0,3.189354839,3.6
6/1/2022,134.6443333,0,3.049,3.6
7/1/2022,130.3603226,0,2.902580645,3.5
8/1/2022,128.1787097,0,2.736774194,3.6
9/1/2022,127.4256667,0,2.61,3.5
10/1/2022,127.2825806,0,2.44516129,3.6
11/1/2022,125.8176667,0,2.27,3.6
12/1/2022,122.0125806,9,2.193548387,3.5
1/1/2023,115.7580645,15,2.152903226,3.5
2/1/2023,112.5671429,25,2.093571429,3.6
3/1/2023,108.6167742,25,1.925483871,3.5
4/1/2023,109.6456667,28,1.809333333,3.4
5/1/2023,109.4909677,24,1.748064516,3.6
6/1/2023,107.2373333,17,1.706333333,3.6
7/1/2023,104.7609677,15,1.715806452,3.5
8/1/2023,104.8932258,16,1.736774194,3.7
9/1/2023,104.8316667,21,1.803,3.7
10/1/2023,102.9603226,23,1.84,3.9
11/1/2023,101.4513333,22,1.859666667,3.7
12/1/2023,101.08,22,1.900322581,3.8
1/1/2024,98.60451613,22,1.956129032,3.7
2/1/2024,97.29896552,27,2.043103448,3.9
3/1/2024,97.24548387,25,2.052258065,3.9
4/1/2024,96.40733333,29,2.027666667,3.9
5/1/2024,94.42967742,26,2.04516129,3.9
6/1/2024,93.05933333,22,2.168666667,4.1
7/1/2024,94.45709677,19,2.197096774,4.2
8/1/2024,92.68096774,26,2.235483871,4.2
9/1/2024,89.82033333,35,2.370333333,4.1
10/1/2024,89.45451613,41,2.448709677,4.1
11/1/2024,88.987,40,2.558333333,4.2
12/1/2024,88.56,41,2.649677419,4.1
1/1/2025,87.16258065,46,2.712580645,4
2/1/2025,85.58714286,60,2.774642857,4.2
3/1/2025,84.17645161,61,2.742903226,4.2
4/1/2025,83.404,75,2.762666667,4.2
5/1/2025,82.05548387,80,2.775806452,4.3
6/1/2025,82.92233333,71,2.979,4.1
7/1/2025,84.35,82,3.133225806,4.3
8/1/2025,85.77225806,85,3.320322581,4.3
9/1/2025,89.04266667,100,3.526333333,4.4
10/1/2025,87.98709677,95,3.840645161,4.4
11/1/2025,87.854,85,4.152333333,4.5
12/1/2025,90.50580645,75,4.336451613,4.4
1/1/2026,91.77129032,77,4.514516129,4.3
2/1/2026,92.85285714,77,4.873928571,4.4
3/1/2026,91.14193548,82,5.146774194,4.3
4/1/2026,90.27133333,78,5.390333333,4.3
